time	sample_size	area_occupied	num_segregating	pi	zmar	fstavg	fstmax	% habitat loss	original_num_seg	original_pi	time passed (slim ticks)	% pi	% num_segregating	habitat loss	feature
4975.0	1000.0	0.9884328626640482	105746.0	0.0001474877974237	0.2365199503896472	0.236677696068898	0.4456725359438041	10.0	120057.0	0.0001535337319203	180025.0	96.06214580927502	88.07982874801135	WE_0.1_1	long-term
4975.0	1000.0	0.9962077775299149	107573.0	0.0001479916822461	0.2321249793101162	0.2449474150692867	0.6715399254444175	10.0	121500.0	0.0001571115526811	180025.0	94.19528972925929	88.53744855967078	WE_0.1_2	long-term
4975.0	1000.0	0.9934020619598596	106233.0	0.0001457045807203	0.2347527640767219	0.254799641615781	0.5467617284992106	10.0	120285.0	0.0001527287908092	180025.0	95.40086053737231	88.31774535478239	WE_0.1_3	long-term
4975.0	1000.0	0.9954181514746406	108012.0	0.0001537122231466	0.2368402575900474	0.2422655155666056	0.6496931739930737	10.0	121354.0	0.0001569568875149	180025.0	97.93276713136146	89.00571880613741	WE_0.1_4	long-term
4975.0	1000.0	0.9962802715053312	106590.0	0.0001492473930415	0.2462014091758569	0.250550968469319	0.5578580277868267	10.0	119097.0	0.0001511975988495	180025.0	98.71016086046367	89.49847603214187	WE_0.1_5	long-term
4975.0	1000.0	0.9943191799193994	105780.0	0.0001471814594647	0.237402796230422	0.2335421036239279	0.4880853364312611	10.0	119581.0	0.0001506959903187	180025.0	97.66780068496364	88.45886888385279	WE_0.1_6	long-term
4975.0	1000.0	0.9900543970481468	105877.0	0.0001461687045322	0.2500906183437126	0.2387002751080614	0.5274973875919992	10.0	119242.0	0.0001540917925549	180025.0	94.85820244457398	88.79170091075292	WE_0.1_7	long-term
4975.0	1000.0	0.9930882078045844	106787.0	0.0001485157532916	0.2250455148141302	0.2413651670880225	0.5144626067822364	10.0	119683.0	0.0001534990777971	180025.0	96.75351501975332	89.22486902901832	WE_0.1_8	long-term
4975.0	1000.0	0.9916257655662712	106089.0	0.0001487195877238	0.2402896338965464	0.223995030474196	0.4478045121443724	10.0	121903.0	0.000157621963433	180025.0	94.35207155442895	87.02739063025521	WE_0.1_9	long-term
4975.0	1000.0	0.9012183638412706	97845.0	0.0001382887324212	0.2481636373208539	0.2444054005625784	0.5345556645580325	20.0	120152.0	0.0001531876482548	180025.0	90.2740749640478	81.43434982355683	WE_0.2_1	long-term
4975.0	1000.0	0.8983452825023597	98145.0	0.0001376000523411	0.2278584381779936	0.2450044002724178	0.5129362765937855	20.0	120221.0	0.0001516704319582	180025.0	90.72305693638576	81.63715157917501	WE_0.2_2	long-term
4975.0	1000.0	0.9031597614037852	98306.0	0.0001356102979089	0.2425860139704345	0.2373906935430904	0.5051431465753403	20.0	118738.0	0.0001524779362661	180025.0	88.93765303344406	82.792366386498	WE_0.2_3	long-term
4975.0	1000.0	0.9009196505355916	98779.0	0.0001403204574737	0.2280757468714855	0.2756577413721388	0.673165970045571	20.0	120427.0	0.000153858629276	180025.0	91.20090184996091	82.02396472551837	WE_0.2_4	long-term
4975.0	1000.0	0.9014719067115562	97920.0	0.0001370919771335	0.2337899630210958	0.2367720134704754	0.5619854177917548	20.0	120141.0	0.0001513253773928	180025.0	90.594174946378	81.50423252678102	WE_0.2_5	long-term
4975.0	1000.0	0.8964774099441043	98771.0	0.0001388753318609	0.2307390925951785	0.2680902898720137	0.64247628155613	20.0	120224.0	0.0001539924993261	180025.0	90.18317935525721	82.15580915624167	WE_0.2_6	long-term
4975.0	1000.0	0.8939730750009076	98080.0	0.0001368944681641	0.2378600205509041	0.2350804281025637	0.4480688820505108	20.0	119985.0	0.000157519915238	180025.0	86.9061337147518	81.74355127724299	WE_0.2_7	long-term
4975.0	1000.0	0.9025547350886488	100152.0	0.0001432322223211	0.2324860639484706	0.2609144941326408	0.6330905240188686	20.0	121870.0	0.0001580928065748	180025.0	90.60008828000097	82.17937146139329	WE_0.2_8	long-term
4975.0	1000.0	0.8974943603942643	100498.0	0.0001438846543221	0.2309667318353463	0.2573915431246414	0.588515458392525	20.0	120080.0	0.0001530866837087	180025.0	93.98900729725779	83.6925383077948	WE_0.2_9	long-term
4975.0	1000.0	0.8978198418265847	85439.0	0.0001201815453977	0.2309767531614526	0.2590288345781073	0.6614495744094586	30.0	119751.0	0.0001541093009257	180025.0	77.98461525410629	71.34721213184024	WE_0.3_1	long-term
4975.0	1000.0	0.8984932049691268	86069.0	0.0001224453716608	0.2293227370566642	0.2696432775322886	0.6746040789440773	30.0	118820.0	0.0001509179023186	180025.0	81.13376198557799	72.43645850866858	WE_0.3_2	long-term
4975.0	1000.0	0.8866947929626959	85893.0	0.0001236566211656	0.2297049009126897	0.2527996317050163	0.5564969341032565	30.0	120965.0	0.0001552464438749	180025.0	79.65182201870236	71.00648948042823	WE_0.3_3	long-term
4975.0	1000.0	0.9041829495014032	86081.0	0.0001209948114757	0.2237621773401722	0.2907727446750115	0.6845537069280111	30.0	119349.0	0.0001533809805191	180025.0	78.8851466891183	72.12544721782336	WE_0.3_4	long-term
4975.0	1000.0	0.8947572055199255	85989.0	0.0001207056267433	0.2434985003565119	0.2603138818060103	0.6501982079127469	30.0	120485.0	0.0001535856876937	180025.0	78.59171551455135	71.36905008922272	WE_0.3_5	long-term
4975.0	1000.0	0.897240138687665	85610.0	0.0001236823238319	0.2358592361996134	0.2721664970497863	0.6718272045408301	30.0	118327.0	0.000150453419579	180025.0	82.20638931171447	72.35035114555427	WE_0.3_6	long-term
