time	sample_size	area_occupied	num_segregating	pi	zmar	fstavg	fstmax	% habitat loss	original_num_seg	original_pi	time passed (slim ticks)	% pi	% num_segregating	habitat loss	Time passed (in Generations)
185000	1000	0.9940443217126474	112700	0.0001531798461481	0.2424575267644117	0.2207991206355497	0.5027877099502942	10.0	120057	0.0001535337319203	0	99.76950617445833	93.87207742988747	WE_0.1_1	0.0
85001	1968	0.9977261395383672	120057	0.0001535337319203	0.2471592412122711	0.2123581099040456	0.461478692247923	10.0	120057	0.0001535337319203	99999	100.0	100.0	WE_0.1_1	22222.0
85000	1585	0.9942688981799602	116502	0.0001532871723946	0.2460791806201037	0.2100148250428057	0.4450230079922499	10.0	120057	0.0001535337319203	100000	99.83941019174341	97.03890651940328	WE_0.1_1	22222.222222222223
84999	1000	0.9942688981799602	110827	0.0001532374421761	0.2419896780734039	0.2130287181487882	0.4450230079922499	10.0	120057	0.0001535337319203	100001	99.80701977311813	92.31198514039166	WE_0.1_1	22222.444444444445
84975	1000	0.9955387972247683	110561	0.0001531754837619	0.2417239356233932	0.2340529575913742	0.6865568263369506	10.0	120057	0.0001535337319203	100025	99.76666485343692	92.09042371540185	WE_0.1_1	22227.777777777777
79975	1000	0.99242941254035	107570	0.0001505257132016	0.2382316318080004	0.2420065412089862	0.6544150614660506	10.0	120057	0.0001535337319203	105025	98.04080922082878	89.59910709079854	WE_0.1_1	23338.88888888889
74975	1000	0.9956945102027857	107688	0.0001486481135818	0.235831701826301	0.2433776723184192	0.556979421951775	10.0	120057	0.0001535337319203	110025	96.81788602583038	89.69739373797447	WE_0.1_1	24450.0
69975	1000	0.9961075009909016	106499	0.0001466997126813	0.2352557918152381	0.2485352314904469	0.5854069397355879	10.0	120057	0.0001535337319203	115025	95.54884835174359	88.70703082702383	WE_0.1_1	25561.11111111111
64975	1000	0.9850406431889488	106255	0.0001488572797298	0.2324845620762023	0.2378075415278298	0.4988832907028219	10.0	120057	0.0001535337319203	120025	96.95412067953407	88.50379403116852	WE_0.1_1	26672.222222222223
59975	1000	0.990703574750898	108055	0.000150088704092	0.2433795700397753	0.2324869730816819	0.4819446413705344	10.0	120057	0.0001535337319203	125025	97.75617528134578	90.00308186944534	WE_0.1_1	27783.333333333332
54975	1000	0.9928815591543404	108209	0.0001507516125663	0.2329842079184607	0.2541802059231762	0.5702399301569622	10.0	120057	0.0001535337319203	130025	98.1879425978884	90.1313542733868	WE_0.1_1	28894.444444444445
49975	1000	0.993884817776424	108295	0.0001525378755027	0.2451394414057509	0.2400065061024568	0.5171685804349379	10.0	120057	0.0001535337319203	135025	99.35137614051031	90.20298691454892	WE_0.1_1	30005.555555555555
44975	1000	0.9894088142407608	108500	0.0001517265843021	0.2318080898614123	0.2471047471671153	0.6532868930933015	10.0	120057	0.0001535337319203	140025	98.82296379069449	90.3737391405749	WE_0.1_1	31116.666666666668
39975	1000	0.9896871519431604	107267	0.0001495672723512	0.2314618195359146	0.237379920897847	0.4708522043310508	10.0	120057	0.0001535337319203	145025	97.4165549684163	89.34672697135527	WE_0.1_1	32227.777777777777
34975	1000	0.9885146970103756	108174	0.0001482994118459	0.241043314976769	0.2431899062756473	0.60966073905915	10.0	120057	0.0001535337319203	150025	96.59076868064592	90.10220145430921	WE_0.1_1	33338.88888888889
29975	1000	0.992355615377514	106165	0.0001483941687594	0.2485569014100531	0.2425842918105857	0.4913178822538503	10.0	120057	0.0001535337319203	155025	96.65248600641847	88.42882963925469	WE_0.1_1	34450.0
24975	1000	0.9965958822095908	107776	0.0001503366448924	0.2318972871109035	0.2502976827950361	0.6462398952547533	10.0	120057	0.0001535337319203	160025	97.9176647451261	89.77069225451244	WE_0.1_1	35561.11111111111
19975	1000	0.9914725215771094	107503	0.0001491294516358	0.2345391104036006	0.2501732147203189	0.6764315852923448	10.0	120057	0.0001535337319203	165025	97.1313924116778	89.54330026570713	WE_0.1_1	36672.22222222222
14975	1000	0.9960440043297007	107037	0.0001481980521411	0.237522672437315	0.245316023108658	0.5140491723944564	10.0	120057	0.0001535337319203	170025	96.52475080722341	89.155151303131	WE_0.1_1	37783.333333333336
9975	1000	0.9918745729947028	106837	0.0001467677107203	0.2369948588008794	0.2482255660765146	0.5704779535058214	10.0	120057	0.0001535337319203	175025	95.59313701596712	88.9885637655447	WE_0.1_1	38894.444444444445
4975	1000	0.9884328626640482	105746	0.0001474877974237	0.2365199503896472	0.236677696068898	0.4456725359438041	10.0	120057	0.0001535337319203	180025	96.06214580927502	88.07982874801135	WE_0.1_1	40005.555555555555
185000	1000	0.9940085754629884	113765	0.0001561129991696	0.2543045047179715	0.2104606413354841	0.4964269109203205	10.0	121500	0.0001571115526811	0	99.36443024433294	93.63374485596708	WE_0.1_2	0.0
85001	1954	0.994161983234028	121500	0.0001571115526811	0.2467883021840658	0.2223747584888712	0.4905317336636646	10.0	121500	0.0001571115526811	99999	100.0	100.0	WE_0.1_2	22222.0
85000	1599	0.9938405101279398	117977	0.0001570391037485	0.239147419584399	0.2274466417732299	0.5821670506516282	10.0	121500	0.0001571115526811	100000	99.95388694760909	97.10041152263375	WE_0.1_2	22222.222222222223
84999	1000	0.9910284084912712	112259	0.0001569251282941	0.2331146632919859	0.2281065474774843	0.5821670506516282	10.0	121500	0.0001571115526811	100001	99.88134266142835	92.39423868312757	WE_0.1_2	22222.444444444445
84975	1000	0.9904648116631248	112419	0.0001570579893597	0.2420420955693109	0.2210066719205173	0.4677452872198308	10.0	121500	0.0001571115526811	100025	99.9659074584358	92.52592592592592	WE_0.1_2	22227.777777777777
